lat,lon,densite,amenities,transports,shops,schools,parks,restaurants,healthcare,entertainment,cultural_places
51.05374998118633,2.5195833226778364,650.9295654296875,0,0,0,0,0,0,0,0,0
51.05374998118633,2.5279166559778368,914.25927734375,0,0,0,0,0,0,0,0,0
51.05374998118633,2.5362499892778363,198.08377075195312,0,0,0,0,0,0,0,0,0
51.05374998118633,2.5445833225778367,70.41976928710938,0,0,0,0,0,0,0,0,0
51.05374998118633,2.552916655877837,63.13046646118164,0,0,0,0,0,0,0,0,0
51.05374998118633,2.5612499891778366,62.309715270996094,0,0,0,0,0,0,0,0,0
51.04541664788633,2.1612499907778364,20.895021438598633,0,0,0,0,0,0,0,0,0
51.04541664788633,2.169583324077837,23.2169132232666,0,0,0,0,0,0,0,0,0
51.04541664788633,2.1779166573778364,40.010475158691406,0,0,0,0,0,0,0,0,0
51.04541664788633,2.1862499906778368,137.43055725097656,0,0,0,0,0,0,0,0,0
